Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2013,24,34.3,27.6,85,42.2,2,11,280,3,W
02-01-2013,24,32.6,27.7,86,99.1,5,12,280,4,W
03-01-2013,26,32.9,28.2,83,68,0.1,9,280,3,W
04-01-2013,25,32.8,28.1,82,0,2.3,8,270,4,W
05-01-2013,25,30,27.3,86,11.6,0,9,240,3,W
06-01-2013,25,33,27.9,81,1.5,2.4,10,290,3,W
07-01-2013,25,32.6,28.1,82,20.4,0,8,260,4,W
08-01-2013,26,33.1,28.7,75,0,5.2,9,260,4,W
09-01-2013,26,31.4,28.1,77,0.8,0.4,10,270,5,W
10-01-2013,26,33.9,29.7,71,0,8,12,270,6,W
11-01-2013,26,32.2,28.8,78,5.9,5,12,240,4,W
12-01-2013,26,33.4,29,78,0,4.5,12,290,4,W
13-01-2013,25,33.6,28.6,78,8888,7,12,200,5,W
14-01-2013,25,32.7,27.6,84,2.5,3,10,250,4,W
15-01-2013,25,31.4,27.2,85,30.8,1.8,11,230,4,W
16-01-2013,25,32,27.7,83,9.5,4.5,10,240,3,W
17-01-2013,26,33.4,28.3,79,0,4.5,12,280,3,W
18-01-2013,25,32,27.5,84,3,2.5,10,210,3,W
19-01-2013,24,34,29.2,76,12.4,8,13,270,3,W
20-01-2013,25,32.5,26.8,89,30.7,2.5,13,200,3,W
21-01-2013,24,33.4,27.7,85,13.7,6.5,13,280,3,W
22-01-2013,25,33.4,28.5,82,33.4,4.3,9,280,3,W
23-01-2013,26,34,28.5,78,5.3,5,12,250,4,W
24-01-2013,24,29.7,26.9,88,8888,1.2,10,270,2,W
25-01-2013,25,33.6,27.3,82,15.9,4.6,8,260,3,W
26-01-2013,24,33.8,27.6,83,19.5,5,10,270,3,W
27-01-2013,25,33.9,27.9,82,32,7.2,8,160,4,W
28-01-2013,24,33.4,27.3,84,73.3,7.5,10,240,3,W
29-01-2013,23,33.2,28.2,76,56.8,6.5,6,180,2,S
30-01-2013,24,34.4,27.3,82,8888,7.6,10,270,3,W
31-01-2013,25,32.6,27.6,85,60.4,5.8,10,360,3,W
01-02-2013,26,32.8,27.7,84,15.4,2,12,360,2,W
02-02-2013,26,32.5,28.5,82,3,3,11,60,2,W
03-02-2013,24,32.4,27,86,0,2.6,11,110,3,E
04-02-2013,26,32.5,28.5,82,0.2,5.3,14,360,3,E
05-02-2013,25,33.6,29,78,0,5.5,14,10,3,W
06-02-2013,26,35.2,29.4,74,0,8,8,270,2,W
07-02-2013,27,34.2,29.5,75,0,8,15,310,3,NW
08-02-2013,26,34.8,29.7,74,0,7.5,14,10,4,E
09-02-2013,26,34.2,29.4,74,0,3.5,6,360,3,W
10-02-2013,26,33.4,28.6,78,8888,6.1,15,10,3,W
11-02-2013,24,33.7,27.9,81,1,0,6,10,3,W
12-02-2013,25,32.8,28.5,79,8888,3,11,20,2,W
13-02-2013,25,33.7,28,79,1,6.7,7,25,3,W
14-02-2013,25,32,28.4,76,1.4,0.8,8,20,3,NW
15-02-2013,25,33.4,28,81,2.8,6,7,30,3,W
16-02-2013,25,33.6,27.2,84,31,0.8,8,270,4,W
17-02-2013,25,32.4,27.3,84,11.4,4.6,11,270,4,W
18-02-2013,26,32.2,28.2,81,3.7,0.5,8,360,5,W
19-02-2013,26,32.8,27.7,80,8888,3.5,9,270,4,W
20-02-2013,25,31,27.8,82,8888,0.1,6,360,3,W
21-02-2013,26,31.1,27.7,82,0,0,13,300,4,W
22-02-2013,25,32.7,28.6,78,0,2.2,9,270,5,W
23-02-2013,24,31.8,27.3,84,10.1,5,13,130,4,W
24-02-2013,26,31.6,27.6,85,3.5,4.5,10,270,4,W
25-02-2013,25,34,29.1,78,4.1,4.6,16,270,3,W
26-02-2013,25,34,28.8,84,3.6,5,15,270,4,W
27-02-2013,25,33.2,28,86,60.8,5.5,12,290,4,W
28-02-2013,25,33.1,27.7,82,44.3,6,10,270,4,W
01-03-2013,25,31.6,28,85,50.9,0,9,270,3,W
02-03-2013,25,30.4,27.6,88,8888,0,9,280,3,W
03-03-2013,25,32.8,28.6,84,1.5,7.3,9,270,3,W
04-03-2013,25,34.2,29.1,79,3,7.8,12,260,4,W
05-03-2013,24,31.8,27.7,82,10.7,1.9,12,30,4,W
06-03-2013,25,35.4,29,74,8.5,8,9,270,3,W
07-03-2013,25,34.2,28.1,78,0,6,9,270,3,W
08-03-2013,25,33.2,28.4,82,29,4.6,9,270,4,W
09-03-2013,26,34,29.1,78,8888,6,9,270,4,W
10-03-2013,25,33.2,27.9,85,3,6,10,270,3,W
11-03-2013,25,32.3,27.2,86,28.1,4,9,290,5,NW
12-03-2013,25,33.6,28,80,4.2,0,8,280,3,W
13-03-2013,24,34.1,27.4,86,10.1,7.8,10,210,3,W
14-03-2013,25,33.2,27.2,87,35.4,7,14,20,3,W
15-03-2013,24,33.7,27.6,82,40.6,6.6,8,290,3,W
16-03-2013,24,33,26.9,84,5.4,6.5,9,350,4,W
17-03-2013,25,33.4,27.2,84,53.3,8,6,270,4,W
18-03-2013,25,33.4,27,88,46,1,6,90,3,E
19-03-2013,25,30,26.9,86,46.6,1,9,90,4,E
20-03-2013,26,34.1,28.9,78,0.2,8,14,10,3,E
21-03-2013,26,34.2,29.6,72,0,6,7,310,3,SW
22-03-2013,25,34.2,29.3,76,0,7.3,8,90,3,E
23-03-2013,25,34.4,30.3,72,0,8,8,90,4,E
24-03-2013,26,34.2,28.9,78,28.6,5,7,90,3,E
25-03-2013,26,33.6,29.3,76,0,4.2,14,90,3,E
26-03-2013,26,34.2,29.8,76,0,5.5,7,270,3,W
27-03-2013,26,34.6,28.9,79,0,8,10,270,3,W
28-03-2013,26,34.7,29.4,81,19.6,3.7,12,10,2,W
29-03-2013,26,33.4,29.4,80,2.2,3.9,6,310,3,W
30-03-2013,24,34.1,29.6,74,0,5.3,14,10,3,W
31-03-2013,26,33.9,28.6,80,3.4,3,9,270,4,W
01-04-2013,26,34.6,29.5,79,0.4,3.2,8,90,4,E
02-04-2013,25,34.6,28.8,83,43,6.5,8,270,0,W
03-04-2013,26,34.3,29.5,79,0,4.5,6,90,2,E
04-04-2013,26,32,28.9,83,8888,5.6,9,10,0,W
05-04-2013,26,33.6,29.5,80,0,0.3,7,90,3,E
06-04-2013,25,32.4,27.6,87,26.6,5.1,7,90,3,E
07-04-2013,26,30.6,27.2,88,1.4,1.2,6,270,4,W
08-04-2013,25,32,27.6,82,9.1,1,4,270,0,W
09-04-2013,25,32,27.7,84,8888,0,8,270,3,W
10-04-2013,24,33.6,28.4,80,12.5,0,7,90,0,E
11-04-2013,25,31.6,28,85,0,3.2,6,90,2,E
12-04-2013,26,33.4,28.6,78,8888,0,7,290,4,W
13-04-2013,25,33.4,29,79,1,4,6,10,0,SW
14-04-2013,26,33.4,28.8,84,9,7.4,5,10,0,SW
15-04-2013,27,32.5,28.2,86,8888,3.5,8,90,0,W
16-04-2013,25,34.2,28.3,83,7.8,1,6,90,3,E
17-04-2013,25,33.4,29.1,81,0,6,10,90,4,E
18-04-2013,26,32,28.1,79,0,3,6,270,5,E
19-04-2013,25,31.8,28.5,80,1,1.1,8,10,3,E
20-04-2013,26,33.4,29.2,77,8888,0.4,7,90,0,E
21-04-2013,26,33.6,28.9,81,2.5,2.6,10,90,3,E
22-04-2013,26,34,29,80,0,4,10,90,4,E
23-04-2013,25,32.7,28.2,83,15.1,6,7,10,4,E
24-04-2013,25,32.8,29,79,1.1,4,8,10,4,E
25-04-2013,26,33.9,29.2,74,1,3.6,8,90,4,E
26-04-2013,26,33.4,28.9,74,0,7.8,11,90,3,E
27-04-2013,25,33.2,28.9,74,0.8,7.4,9,90,5,E
28-04-2013,26,33,29.3,77,0,4,10,90,3,E
29-04-2013,26,33.6,30.1,74,5.4,6.1,6,10,4,E
30-04-2013,27,33.4,29.7,78,3.4,6,7,90,3,E
01-05-2013,25,33.6,28.9,78,42.4,7.7,8,90,4,E
02-05-2013,26,34,29.3,71,8888,7.8,8,270,5,E
03-05-2013,26,33.6,29.9,73,0,8,12,90,4,E
04-05-2013,25,34.4,29.4,77,3.4,7.4,9,10,4,E
05-05-2013,27,34.8,30.2,76,0,7.8,6,90,3,E
06-05-2013,27,34.6,30.3,76,0,7.5,7,90,4,E
07-05-2013,27,34.8,30.1,80,0,7.5,6,270,4,E
08-05-2013,26,33.8,28.8,80,0,2,4,270,2,E
09-05-2013,26,34.7,29.7,74,0,7,11,270,3,E
10-05-2013,25,34.8,29.6,76,0,5.1,7,90,3,E
11-05-2013,26,34.3,29.7,77,0,7.5,6,90,4,E
12-05-2013,27,33,29.3,80,4.9,2.4,8,90,4,E
13-05-2013,25,29.2,26.6,89,0,0,11,90,3,E
14-05-2013,25,34.1,29.4,79,16.5,7.8,6,20,3,W
15-05-2013,26,30.7,28.2,84,0.6,0.8,7,360,2,NE
16-05-2013,26,31.6,28.2,86,8888,1.4,7,90,3,E
17-05-2013,25,33.6,29.1,77,2,3.5,8,90,3,E
18-05-2013,24,31.6,27,90,35.8,0.5,8,270,3,W
19-05-2013,25,32.8,27.5,88,6.6,3.6,11,90,2,E
20-05-2013,25,32.5,28.2,83,2.2,1.2,6,90,2,E
21-05-2013,26,34,29,79,8.5,6.2,5,90,2,E
22-05-2013,26,33.4,28.3,84,0,3.5,6,90,2,E
23-05-2013,25,34.3,28.4,81,8888,5.5,14,90,2,E
24-05-2013,25,33.8,28.4,80,31.6,4.7,5,90,3,E
25-05-2013,25,33.2,28.8,82,0,2.1,6,270,4,W
26-05-2013,26,33.6,28.9,79,0,5.6,7,270,2,W
27-05-2013,24,30,25.9,91,2.5,0,5,270,3,W
28-05-2013,25,32.8,27.7,83,22.4,2.6,5,90,2,E
29-05-2013,25,33,28.4,78,0,3.6,6,90,2,E
30-05-2013,25,33,28.7,80,0,3.2,6,90,2,E
31-05-2013,26,29.6,27,84,0,0,6,270,3,E
01-06-2013,26,33.4,28.5,80,8888,5,8,270,3,W
02-06-2013,26,32.8,28,82,0,3,6,270,2,W
03-06-2013,25,33.4,28.5,80,1,3.5,6,310,5,NW
04-06-2013,26,33.8,28.8,79,0.1,6.5,6,90,4,E
05-06-2013,25,34.4,29.7,78,0,5.3,6,270,4,W
06-06-2013,25,33.6,28.1,84,54.5,2.2,8,310,3,W
07-06-2013,25,32.8,28,84,3.7,0,6,300,3,NW
08-06-2013,25,30.3,27.8,86,0,0,6,90,2,E
09-06-2013,25,30.6,27,86,3.5,0.8,8,180,3,E
10-06-2013,25,28.8,26.6,91,0.2,0,8,60,6,E
11-06-2013,25,30.4,26.7,87,8,0,8,90,4,E
12-06-2013,25,32,28.2,82,0,1.3,7,70,3,E
13-06-2013,23,31.8,27.1,84,4.6,0,11,90,4,E
14-06-2013,24,30.8,26.1,90,26.4,0.3,6,60,2,E
15-06-2013,25,32,28.3,84,1.1,2.2,7,60,3,E
16-06-2013,25,30.6,27.7,86,13.5,0.3,8,80,3,E
17-06-2013,25,30.4,26.8,89,8888,0,7,150,3,SE
18-06-2013,25,32.6,28,82,55.9,5.3,6,310,3,W
19-06-2013,27,34.2,29.2,79,0,7,7,270,4,W
20-06-2013,26,34,29.8,75,0,7.5,6,310,2,W
21-06-2013,26,34.2,29.5,72,0,8,6,300,3,NW
22-06-2013,26,33.8,29.1,80,0,5,7,90,3,E
23-06-2013,26,33.9,28.9,79,2.6,5.3,6,70,4,E
24-06-2013,26,34.4,29.5,78,0,8,6,300,3,NW
25-06-2013,26,34,29.1,78,0,8,6,70,3,E
26-06-2013,26,33.4,28.9,77,8888,5,6,50,2,E
27-06-2013,25,34.7,28.4,78,0,7.4,7,110,4,W
28-06-2013,25,33.1,28.6,79,59.5,4.3,6,180,3,W
29-06-2013,26,34.2,28.7,76,0,6.2,6,90,3,E
30-06-2013,26,33,29.2,77,0,4.2,9,80,2,E
01-07-2013,26,31,27.6,80,0,0,7,70,3,E
02-07-2013,25,30.6,26.9,83,0,0,12,70,3,E
03-07-2013,25,26.8,25.6,91,54.4,0,11,90,3,E
04-07-2013,24,31.7,27.8,83,16.6,6,13,60,6,E
05-07-2013,24,32.3,27.7,74,0,7.6,10,50,3,E
06-07-2013,23,32.4,27.7,73,0,7.7,6,60,3,E
07-07-2013,23,32.6,26.8,77,0,4.5,7,80,3,E
08-07-2013,24,33.3,27.5,76,0,4,7,70,3,E
09-07-2013,25,33.8,28.3,74,0,7.8,7,70,4,E
10-07-2013,25,33.2,26.6,83,8888,3.2,8,280,3,NW
11-07-2013,25,33.2,27.7,79,0,2.1,8,50,3,E
12-07-2013,25,33.3,27.9,78,0,5,8,60,3,E
13-07-2013,25,32.3,28,80,4.9,3.6,8,80,4,E
14-07-2013,23,30.9,26.9,83,8888,1,7,200,3,W
15-07-2013,24,29.6,26,88,1,0,5,110,3,W
16-07-2013,24,31.5,27.4,78,8888,3.4,5,110,3,E
17-07-2013,23,33.2,27.8,74,0,7.5,7,320,2,W
18-07-2013,23,32.8,27.4,68,0,5.5,8,160,4,E
19-07-2013,23,32.6,27.1,67,0,6.8,7,80,3,E
20-07-2013,25,32.2,27.4,71,0,6,6,30,2,E
21-07-2013,25,32.6,27.9,71,0,8,8,60,4,E
22-07-2013,26,32.9,28.3,75,0,7.6,9,70,4,E
23-07-2013,25,32.6,29,74,0,8,14,90,6,E
24-07-2013,25,32.4,28.1,80,12.6,4,10,60,4,E
25-07-2013,26,32.6,27.8,79,1,7,9,80,4,E
26-07-2013,24,32.5,28.5,72,0,7.5,6,90,4,E
27-07-2013,24,32.6,27.9,72,0,8,7,80,4,E
28-07-2013,22,32.4,27.4,70,0,6.7,5,90,3,E
29-07-2013,23,31.9,26.5,68,0,8,11,70,5,E
30-07-2013,21,32.1,26.7,66,0,8,9,100,5,E
31-07-2013,22,32,26.1,68,0,8,9,90,5,E
01-08-2013,22.8,33,27.2,69,1,8,8,70,3,E
02-08-2013,21.3,32.6,27,71,1,8,10,60,4,E
03-08-2013,24,32.2,27,67,1,8,10,90,5,E
04-08-2013,24.6,32.6,27.5,70,0,6,9,80,5,E
05-08-2013,25,33.4,28,71,0,5.7,9,60,5,E
06-08-2013,23.2,33.2,28.2,72,0,8,8,80,4,E
07-08-2013,23.4,32.8,27.1,72,0,8,8,90,5,E
08-08-2013,23,33.2,27.6,70,0,6.4,8,70,4,E
09-08-2013,23.2,33.4,27.6,68,0,8,7,70,4,E
10-08-2013,22.2,33,27.9,71,0,6.5,9,40,3,E
11-08-2013,20.2,31.8,26.5,67,0,8,8,60,4,E
12-08-2013,20.2,31.9,25.3,66,0,7.6,9,80,4,E
13-08-2013,21.5,31.9,27.5,52,0,8,9,90,4,E
14-08-2013,23.6,32.4,27.1,72,0,7.1,11,60,4,E
15-08-2013,24.5,33.4,28.1,73,0,7.2,11,70,5,E
16-08-2013,23.4,33.6,28.4,71,0,8,10,70,5,E
17-08-2013,21.8,33.2,27.9,67,0,8,8,60,5,E
18-08-2013,22.2,32.6,27.3,66,0,8,8,50,4,E
19-08-2013,22.8,32.5,26.8,67,0,8,9,70,5,E
20-08-2013,22.4,33.2,27.5,66,0,8,10,80,4,E
21-08-2013,22.8,34.1,27.8,68,0,8,9,60,3,E
22-08-2013,22.8,33.6,27.6,68,0,8,8,70,3,E
23-08-2013,22.4,32.9,27.6,67,0,7.4,11,60,5,E
24-08-2013,23.4,32.4,26.9,75,0,8,11,80,6,E
25-08-2013,23.4,32.2,27.2,72,0,8,12,60,5,E
26-08-2013,23.8,33,27.6,66,0,8,11,60,4,E
27-08-2013,24.2,32.6,27.7,69,0,8,11,70,6,E
28-08-2013,24.4,33.6,28.5,66,0,8,12,60,5,E
29-08-2013,24.6,35.2,28.9,71,0,8,8,70,4,E
30-08-2013,24.8,34.2,29.2,71,0,8,8,100,2,E
31-08-2013,26.2,34.4,29.1,70,0,8,9,70,4,E
01-09-2013,24.6,33.4,29.7,66,0,8,11,60,4,E
02-09-2013,24.9,34.2,28.4,67,0,8,10,60,4,E
03-09-2013,24,33.4,28.8,67,0,8,8,80,4,E
04-09-2013,23.2,34.2,28.1,68,0,8,10,60,5,E
05-09-2013,24.8,33.7,29.8,57,0,8,11,50,5,E
06-09-2013,23.8,33,28.2,68,0,8,8,60,5,E
