Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2014,25,29.8,26.9,82,8888,0,7,270,4,W
02-01-2014,25.4,32.4,28.4,73,8888,1,5,270,2,NW
03-01-2014,24,33.4,28,79,0,3.5,8,315,5,S
04-01-2014,23.8,32.8,26.7,86,6.8,5.1,11,315,4,S
05-01-2014,23.6,31.2,26.1,88,76.3,3.1,12,315,3,NW
06-01-2014,24.4,30.4,26.2,90,32.8,3.6,8,270,3,NE
07-01-2014,24.6,32,28.2,82,21.1,1,9,270,2,SW
08-01-2014,24.8,34.2,28.8,80,8888,7.4,8,270,0,SW
09-01-2014,25.8,34.4,28.2,80,15.7,7.8,8,270,4,S
10-01-2014,25,32.2,28.4,81,3.8,1.4,6,270,3,NW
11-01-2014,24.2,32.2,27.6,85,5.3,5,9,90,3,N
12-01-2014,25.2,31.8,26.8,88,36.5,3.2,8,270,2,NW
13-01-2014,25.4,33,27.8,83,2.1,5.5,11,270,3,W
14-01-2014,25.2,33.4,29,72,3.7,5.8,8,270,3,SW
15-01-2014,24.8,31.2,27.3,83,8888,0.7,11,270,3,W
16-01-2014,25,30.6,27.4,80,8888,0.6,11,270,4,W
17-01-2014,24.9,32,27.6,80,8888,3.2,11,270,5,NW
18-01-2014,24.5,32.4,27.2,82,8888,0.5,8,270,3,NW
19-01-2014,24.4,31.6,26.7,84,1.4,4.8,9,270,4,NW
20-01-2014,24.6,30.2,27.1,82,14.9,0,11,270,5,NW
21-01-2014,24.4,28.7,26.2,85,8888,0,9,270,3,W
22-01-2014,24.5,32.2,27.5,78,2,7.6,11,270,4,NW
23-01-2014,24,29.7,26.6,82,1,1.2,10,270,4,NW
24-01-2014,24.4,30.6,26.8,81,1.3,1.5,6,270,4,W
25-01-2014,24.4,30.5,26.6,80,0,1.4,8,270,3,NW
26-01-2014,24.2,33.6,26.8,81,5.8,8,12,315,3,SE
27-01-2014,25.2,32.5,27.5,85,68.4,8,8,315,4,NW
28-01-2014,24,31.2,27,85,2.8,2,9,270,4,NW
29-01-2014,25,32.8,27.7,77,8888,5.5,10,270,4,NW
30-01-2014,25.1,32.6,27.9,76,8888,7,13,270,3,NW
31-01-2014,24.6,31.5,27.4,80,8888,2.5,11,270,4,NW
01-02-2014,25,32.8,27.9,80,3,7.5,13,270,5,NW
02-02-2014,24.8,28.2,25.9,90,1.8,0,9,270,4,E
03-02-2014,24.8,31.5,26.9,86,9.9,4,10,270,4,NW
04-02-2014,24.8,31.6,27.9,85,7.1,3.1,10,270,4,NW
05-02-2014,25.4,32,28.1,82,8888,6.2,8,315,0,NW
06-02-2014,25.6,32.8,28.6,79,0,5.4,8,315,4,NW
07-02-2014,25.4,32.8,28.9,78,8888,7.8,8,270,4,NW
08-02-2014,25,32.6,27.6,84,0,1.3,9,270,3,NW
09-02-2014,25,32.6,28.2,80,8888,5.2,11,270,4,NW
